rep,scenario,budget_fraction,adapt_n,adapt_pos,test_n,test_pos,auroc,prauc,brier,slope,n,positives,prevalence
6,target_only,0.5,184,10,369,20,0.6755014326647565,0.17542372899583605,0.05417865735998539,0.4550327759451955,369,20,0.05420054200542006
6,source_plus_target,0.5,184,10,369,20,0.6984240687679083,0.21517588648984076,0.04953399053086337,0.4360008439304167,369,20,0.05420054200542006
6,target_only,1.0,369,21,369,20,0.6401146131805158,0.11292183027012534,0.05418803736542633,0.3586321933944427,369,20,0.05420054200542006
6,source_plus_target,1.0,369,21,369,20,0.7080229226361031,0.23647740421430102,0.04873017912683196,0.5063536980579786,369,20,0.05420054200542006
7,source_only,0.0,0,0,369,20,0.6694842406876791,0.1474566425159112,0.05499399164129528,0.29742807061679744,369,20,0.05420054200542006
7,target_only,0.01,10,2,369,20,0.5,0.05420054200542006,0.07252032520325204,1.356575907779922,369,20,0.05420054200542006
7,source_plus_target,0.01,10,2,369,20,0.6558739255014326,0.16586295586868058,0.05308447769103982,0.31743802383953934,369,20,0.05420054200542006
7,target_only,0.025,10,2,369,20,0.5,0.05420054200542006,0.07252032520325204,1.356575907779922,369,20,0.05420054200542006
7,source_plus_target,0.025,10,2,369,20,0.6832378223495702,0.1661241471461932,0.0522646168171075,0.3526177564215607,369,20,0.05420054200542006
7,target_only,0.05,18,2,369,20,0.5,0.05420054200542006,0.0545016561276724,1.116652962802669,369,20,0.05420054200542006
7,source_plus_target,0.05,18,2,369,20,0.6783667621776505,0.13414773437441768,0.05529310107358637,0.3223548171065471,369,20,0.05420054200542006
7,target_only,0.1,37,3,369,20,0.5,0.05420054200542006,0.05198540663273688,1.0069306484167526,369,20,0.05420054200542006
7,source_plus_target,0.1,37,3,369,20,0.647134670487106,0.13835296975020195,0.05338778851958348,0.2838037336036853,369,20,0.05420054200542006
7,target_only,0.2,74,3,369,20,0.5358166189111748,0.15222997374117564,0.054186364184840755,0.24819430795688185,369,20,0.05420054200542006
7,source_plus_target,0.2,74,3,369,20,0.6703438395415473,0.18118349432467806,0.05064035300350961,0.3838330146560042,369,20,0.05420054200542006
7,target_only,0.5,184,11,369,20,0.6762177650429799,0.16625324554932125,0.05417456607479347,0.5034257053085274,369,20,0.05420054200542006
7,source_plus_target,0.5,184,11,369,20,0.7077363896848138,0.1780811074999155,0.04993903996083163,0.4244373378370629,369,20,0.05420054200542006
7,target_only,1.0,369,21,369,20,0.5805157593123209,0.1053574404753318,0.05418767648076298,0.24123618479475833,369,20,0.05420054200542006
7,source_plus_target,1.0,369,21,369,20,0.7147564469914041,0.2685016916065519,0.04898193377040891,0.5065769792507908,369,20,0.05420054200542006
8,source_only,0.0,0,0,369,21,0.6829501915708813,0.1630762588692288,0.05541244655597167,0.32578540650388166,369,21,0.056910569105691054
8,target_only,0.01,10,2,369,21,0.5,0.056910569105691054,0.07414634146341463,1.332091345660095,369,21,0.056910569105691054
8,source_plus_target,0.01,10,2,369,21,0.6815818281335523,0.1747390090084527,0.05553673742479079,0.3388696074811249,369,21,0.056910569105691054
8,target_only,0.025,10,2,369,21,0.5,0.056910569105691054,0.07414634146341463,1.332091345660095,369,21,0.056910569105691054
8,source_plus_target,0.025,10,2,369,21,0.7312534209085934,0.19583282974259983,0.053068109582126814,0.4402228014268104,369,21,0.056910569105691054
8,target_only,0.05,18,2,369,21,0.5,0.056910569105691054,0.056609454983438744,1.0965274385949093,369,21,0.056910569105691054
8,source_plus_target,0.05,18,2,369,21,0.6941707717569787,0.20402105455156933,0.05317345082462501,0.3864842433508755,369,21,0.056910569105691054
8,target_only,0.1,37,6,369,21,0.5,0.056910569105691054,0.06474965407068242,1.2472033678437957,369,21,0.056910569105691054
8,source_plus_target,0.1,37,6,369,21,0.7272851669403393,0.19104524730970154,0.05249555170192647,0.44936998811033024,369,21,0.056910569105691054
8,target_only,0.2,74,2,369,21,0.4870005473453749,0.1046965420651796,0.05690395673202443,0.09723018664338558,369,21,0.056910569105691054
8,source_plus_target,0.2,74,2,369,21,0.6762452107279694,0.21277296143434601,0.051661917782216314,0.3686980302978268,369,21,0.056910569105691054
8,target_only,0.5,184,12,369,21,0.5429666119321291,0.14436106277846883,0.05689113359416884,0.13975891833757334,369,21,0.056910569105691054
8,source_plus_target,0.5,184,12,369,21,0.7062123700054733,0.19865226479457795,0.05299967270295737,0.4381365694560801,369,21,0.056910569105691054
8,target_only,1.0,369,20,369,21,0.5316091954022988,0.11821689784437077,0.05682603428696502,0.14205054549006146,369,21,0.056910569105691054
8,source_plus_target,1.0,369,20,369,21,0.7136015325670498,0.26346234224710774,0.05079391454914842,0.504080670866836,369,21,0.056910569105691054
9,source_only,0.0,0,0,369,20,0.7393982808022923,0.18906962646537134,0.05101018006208283,0.4733269447709712,369,20,0.05420054200542006
9,target_only,0.01,10,2,369,20,0.5,0.05420054200542006,0.07252032520325202,1.3565759077799218,369,20,0.05420054200542006
9,source_plus_target,0.01,10,2,369,20,0.7313753581661891,0.2370916507879588,0.05101866348244786,0.46927911668376926,369,20,0.05420054200542006
9,target_only,0.025,10,3,369,20,0.5,0.05420054200542006,0.11168021680216804,1.409889134299079,369,20,0.05420054200542006
9,source_plus_target,0.025,10,3,369,20,0.7108882521489971,0.19925329071165038,0.05004225573170446,0.45366991696921893,369,20,0.05420054200542006
9,target_only,0.05,18,3,369,20,0.5,0.05420054200542006,0.06391147244805782,1.2817446526953746,369,20,0.05420054200542006
9,source_plus_target,0.05,18,3,369,20,0.7299426934097422,0.24300624161558346,0.04684039570874986,0.5128207182695224,369,20,0.05420054200542006
9,target_only,0.1,37,2,369,20,0.5,0.05420054200542006,0.05126286471045864,0.8904807433740896,369,20,0.05420054200542006
9,source_plus_target,0.1,37,2,369,20,0.721919770773639,0.21075688737104412,0.04908403285876316,0.5071463556293688,369,20,0.05420054200542006
9,target_only,0.2,74,3,369,20,0.44971346704871057,0.04914646232496464,0.05492528781981681,-0.22238391030206123,369,20,0.05420054200542006
9,source_plus_target,0.2,74,3,369,20,0.7345272206303725,0.27490316504814394,0.04723839532909381,0.5394800291308488,369,20,0.05420054200542006
9,target_only,0.5,184,11,369,20,0.6595988538681948,0.1523094097227428,0.054060495861907705,0.2988536853024413,369,20,0.05420054200542006
9,source_plus_target,0.5,184,11,369,20,0.7236389684813753,0.27628205064670797,0.0485269357587181,0.5100935146446364,369,20,0.05420054200542006
9,target_only,1.0,369,21,369,20,0.6828080229226361,0.1282433491013315,0.054184498728551266,0.4740230635898006,369,20,0.05420054200542006
9,source_plus_target,1.0,369,21,369,20,0.6972779369627508,0.24533442059602617,0.04928802003081029,0.4850486004746424,369,20,0.05420054200542006
10,source_only,0.0,0,0,369,20,0.7376790830945559,0.27937994962644563,0.05038088721709105,0.45351000043758916,369,20,0.05420054200542006
